Country,last_value,Currency,Code
aruba,1.3506896495819098,Aruban Florin,AWG
afghanistan,17.9144826699909,Afghani,AFN
angola,146.167167826781,Kwanza,AOA
albania,41.3423914138531,Lek,ALL
united arab emirates,2.25850307596397,UAE Dirham,AED
argentina,20.7139578408443,Argentine Peso,ARS
armenia,155.770479651178,Armenian Dram,AMD
antigua and barbuda,2.0194532091955804,East Caribbean Dollar,XCD
australia,1.461587,Australian Dollar,AUD
austria,0.759962,Euro,EUR
azerbaijan,0.541783029023867,Azerbaijanian Manat,AZN
burundi,614.273901861231,Burundi Franc,BIF
belgium,0.754025,Euro,EUR
benin,208.14828767688,CFA Franc BCEAO,XOF
burkina faso,202.684664333737,CFA Franc BCEAO,XOF
bangladesh,31.412871920592398,Taka,BDT
bulgaria,0.6985512891981379,Bulgarian Lev,BGN
bahrain,0.188021618496962,Bahraini Dinar,BHD
bosnia and herzegovina,0.674721776333022,Convertible Mark,BAM
belarus,0.69701659405586,Belarussian Ruble,BYR
belize,1.31658399660205,Belize Dollar,BZD
bermuda,1.3707859561201499,Bermudian Dollar,BMD
bolivia,2.6941051256579702,Boliviano,BOB
bolivia,2.6941051256579702,Mvdol,BOV
brazil,2.24738365412163,Brazilian Real,BRL
barbados,2.2225668662355496,Barbados Dollar,BBD
brunei darussalam,0.6539719595070339,Brunei Dollar,BND
bhutan,18.9001286950754,Ngultrum,BTN
bhutan,18.9001286950754,Indian Rupee,INR
botswana,4.6155530837535705,Pula,BWP
central african republic,277.852867490644,CFA Franc BEAC,XAF
canada,1.1980879999999998,Canadian Dollar,CAD
switzerland,1.143836,WIR Euro,CHE
switzerland,1.143836,Swiss Franc,CHF
switzerland,1.143836,WIR Franc,CHW
chile,420.903055,Unidad de Fomento,CLF
chile,420.903055,Chilean Peso,CLP
china,4.20011786862713,Yuan Renminbi,CNY
cameroon,232.218111523829,CFA Franc BEAC,XAF
colombia,1351.775746,Colombian Peso,COP
colombia,1351.775746,Unidad de Valor Real,COU
comoros,188.465816580834,Comoro Franc,KMF
cabo verde,47.39553801356399,Cabo Verde Escudo,CVE
costa rica,341.441239,Costa Rican Colon,CRC
cuba,0.321938711455632,Peso Convertible,CUC
cuba,0.321938711455632,Cuban Peso,CUP
cayman islands,0.977497020934353,Cayman Islands Dollar,KYD
cyprus,0.608703010927457,Euro,EUR
czech republic,12.843494999999999,Czech Koruna,CZK
germany,0.744679,Euro,EUR
